시군명,해당연도,세대수 (세대),인구 (명),인구 남 (명),인구 여 (명)
춘천시,1995,70774,232682,115573,117109
원주시,1995,70874,237537,118552,118985
강릉시,1995,67106,223539,111304,112235
동해시,1995,29988,100277,50416,49861
태백시,1995,18773,64850,33102,31748
속초시,1995,25750,80625,40033,40592
삼척시,1995,26424,90005,45572,44433
홍천군,1995,22226,75924,38533,37391
횡성군,1995,14331,48773,24851,23922
영월군,1995,16510,53398,26896,26502
평창군,1995,14834,49781,25284,24497
정선군,1995,18199,61115,31537,29578
철원군,1995,15627,54281,27545,26736
화천군,1995,8342,26321,13478,12843
양구군,1995,7272,24233,12329,11904
인제군,1995,10521,35079,17923,17156
고성군,1995,11703,39005,19539,19466
양양군,1995,9299,31063,15460,15603
춘천시,1996,72969,235729,116931,118798
원주시,1996,74222,244535,122141,122394
강릉시,1996,68938,224111,111510,112601
동해시,1996,31181,101912,51148,50764
태백시,1996,18607,62436,31819,30617
속초시,1996,26968,82472,40802,41670
삼척시,1996,26466,87303,44088,43215
홍천군,1996,22851,75493,38321,37172
횡성군,1996,14526,48112,24523,23589
영월군,1996,16515,51787,26083,25704
평창군,1996,15376,49361,25075,24286
정선군,1996,17679,57350,29615,27735
철원군,1996,16030,54295,27638,26657
화천군,1996,8508,26010,13451,12559
양구군,1996,7415,24047,12270,11777
인제군,1996,10730,34670,17749,16921
고성군,1996,11808,38142,19089,19053
양양군,1996,9596,30906,15381,15525
춘천시,1997,76110,240226,119154,121072
원주시,1997,79066,254271,127008,127263
강릉시,1997,70843,225528,112273,113255
동해시,1997,32328,103112,51965,51147
태백시,1997,18536,60438,30794,29644
속초시,1997,28451,85263,42266,42997
삼척시,1997,26771,86016,43473,42543
홍천군,1997,23457,75105,38175,36930
횡성군,1997,14551,47081,24014,23067
영월군,1997,16580,50498,25478,25020
평창군,1997,15761,48811,24733,24078
정선군,1997,17414,54668,28250,26418
철원군,1997,16474,54194,27612,26582
화천군,1997,8619,25627,13222,12405
양구군,1997,7483,23778,12176,11602
인제군,1997,10859,34187,17483,16704
고성군,1997,11918,37384,18775,18609
양양군,1997,9936,30919,15429,15490
춘천시,1998,78843,244076,121095,122981
원주시,1998,82395,260355,130143,130212
강릉시,1998,73705,229449,114544,114905
동해시,1998,33022,103474,52230,51244
태백시,1998,18794,59896,30549,29347
속초시,1998,29729,86923,43167,43756
삼척시,1998,27455,85846,43465,42381
홍천군,1998,24007,75251,38263,36988
횡성군,1998,14949,47362,24213,23149
영월군,1998,16952,50287,25494,24793
평창군,1998,16103,48746,24752,23994
정선군,1998,17625,53849,27814,26035
철원군,1998,16975,54500,27816,26684
화천군,1998,8818,25916,13344,12572
양구군,1998,7794,24027,12303,11724
인제군,1998,11112,34288,17600,16688
고성군,1998,12127,37319,18780,18539
양양군,1998,10263,31103,15607,15496
춘천시,1999,81288,248370,123042,125328
원주시,1999,84903,265073,132416,132657
강릉시,1999,75817,232067,115909,116158
동해시,1999,33674,103704,52344,51360
태백시,1999,18968,58588,29896,28692
속초시,1999,30891,88764,44103,44661
삼척시,1999,27647,84523,42748,41775
홍천군,1999,24525,74939,38078,36861
횡성군,1999,15032,46822,23930,22892
영월군,1999,17125,49746,25158,24588
평창군,1999,16119,48003,24435,23568
